Number,Planted,Harvest.date,Days in Experiment,Mycocosm,Tree,Harvest,Fungi,Replicate,Shelf,Light,biomass.C_umol,respired.C_umol,total.C_umol,N:C,P:C,total.N,total.P,fungalmass_ug,plantmass_g
61,8/6/2017,10/20/2017,75,Rh13L9,13,10,Rhizopogon,9,RL,Low,296.5666172,69788.454,70085.02062,0.000172927,-2.47E-06,12.11961519,-0.173332774,7665.47955,0.195303
67,8/6/2017,10/20/2017,75,Rh18H12,18,10,Rhizopogon,12,RH,High,300.0506747,126994.4434,127294.4941,0.000742564,2.56E-05,94.52436282,3.262347584,7755.533418,0.405158
65,8/6/2017,10/20/2017,75,Rh18H11,18,10,Rhizopogon,11,RH,High,330.5762239,77518.66773,77849.24396,0.000759306,2.07E-05,59.11143357,1.608320367,8544.539867,0.334968
59,8/6/2017,10/20/2017,75,Rh13L11,13,10,Rhizopogon,11,RL,Low,332.7404637,74962.61021,75295.35067,6.92E-05,1.32E-05,5.212997073,0.993518167,8600.479864,0.208185
151,8/6/2017,12/12/2017,128,Rh18L13,18,20,Rhizopogon,13,RL,Low,345.0804983,143929.0478,144274.1283,0.000273543,1.47E-06,39.46515671,0.211387765,8919.437823,0.255005
79,8/6/2017,10/21/2017,76,Rh18L6,18,10,Rhizopogon,6,LL,Low,346.5094636,71249.81267,71596.32214,-0.000264196,-8.40E-07,-18.91548154,-0.060105787,8956.372879,0.153216
75,8/6/2017,10/20/2017,75,Rh18L15,18,10,Rhizopogon,15,RL,Low,362.2223172,76996.08186,77358.30418,0.000169153,4.13E-05,13.08538231,3.193986982,9362.509479,0.21031
155,8/6/2017,12/12/2017,128,Rh18L18,18,20,Rhizopogon,18,LL,Low,372.0337601,138535.6614,138907.6952,0.001188056,7.08E-05,165.0301135,9.833334789,9616.109888,0.490843
73,8/6/2017,10/20/2017,75,Rh18L14,18,10,Rhizopogon,14,RL,Low,386.2662985,72785.61583,73171.88213,-0.00030266,-2.46E-05,-22.14622332,-1.802230292,9983.984171,0.137604
69,8/6/2017,10/18/2017,73,Rh18H18,18,10,Rhizopogon,18,LH,High,389.3116316,123341.5162,123730.8278,0.000455707,2.80E-06,56.38497537,0.346059654,10062.69815,0.277718
77,8/6/2017,10/20/2017,75,Rh18L17,18,10,Rhizopogon,17,RL,Low,391.4305587,69676.71887,70068.14943,0.000721721,7.87E-05,50.56963304,5.515006225,10117.46693,0.329228
141,8/6/2017,12/12/2017,128,Rh13L7,13,20,Rhizopogon,7,LL,Low,412.2142871,142900.2983,143312.5126,-8.91E-05,-5.34E-06,-12.77142143,-0.764951467,10654.67252,0.140583
57,8/6/2017,10/20/2017,75,Rh13H5,13,10,Rhizopogon,5,RH,High,415.4196709,78586.87342,79002.29309,-7.25E-05,-1.01E-05,-5.728467909,-0.79613453,10737.5234,0.215482
63,8/6/2017,10/20/2017,75,Rh18H10,18,10,Rhizopogon,10,RH,High,417.4126143,100999.5101,101416.9227,0.000533293,1.41E-05,54.08495395,1.425543146,10789.03583,0.32299
137,8/6/2017,12/12/2017,128,Rh18H3,18,20,Rhizopogon,13,LH,Low,420.1066662,383094.9414,383515.0481,-4.94E-05,-1.56E-06,-18.95509031,-0.599689727,10858.6701,0.144187
157,8/6/2017,12/12/2017,128,Rh18L2,18,20,Rhizopogon,2,LL,Low,439.9712024,122740.8105,123180.7817,0.001119035,4.01E-05,137.8435746,4.935300162,11372.11695,0.436456
153,8/6/2017,12/12/2017,128,Rh18L16,18,20,Rhizopogon,16,RL,Low,507.1245894,167221.2229,167728.3475,0.000167052,2.62E-05,28.01941529,4.395392311,13107.85821,0.34397
143,8/6/2017,12/11/2017,127,Rh18H13,18,20,Rhizopogon,13,LH,High,556.2161271,428645.3969,429201.613,0.000395928,1.52E-05,169.9331013,6.519495048,14376.74741,0.43632
135,8/6/2017,12/11/2017,127,Rh13H1,13,20,Rhizopogon,1,LH,High,595.0775673,377276.2501,377871.3277,0.000104667,-4.96E-08,39.55052831,-0.018751677,15381.21507,0.307642
223,8/6/2017,2/19/2018,197,Rh18L1,18,30,Rhizopogon,1,LL,Low,812.627409,307807.6458,308620.2732,0.000195614,8.88E-07,60.37034697,0.27402533,21004.31547,0.17726
145,8/6/2017,12/12/2017,128,Rh18H16,18,20,Rhizopogon,16,LH,High,825.7059897,324095.4338,324921.1398,0.000172242,7.47E-06,55.96522096,2.428054036,21342.36293,0.283209
213,8/6/2017,2/19/2018,197,Rh13H6,13,30,Rhizopogon,6,RH,High,1016.936267,1777981.904,1778998.84,4.07E-05,8.03E-07,72.40864925,1.428913678,26285.17071,0.33469
229,8/6/2017,2/20/2018,198,Rh18L4,18,30,Rhizopogon,4,LL,Low,1020.992023,373538.9338,374559.9258,0.000475516,1.85E-05,178.1091918,6.931177133,26390.0015,0.44376
215,8/6/2017,2/20/2018,198,Rh13L8,13,30,Rhizopogon,8,LL,Low,1029.75147,333258.7824,334288.5338,-5.24E-05,-2.43E-06,-17.52988149,-0.813049041,26616.41053,0.13736
149,8/6/2017,12/12/2017,128,Rh18H8,18,20,Rhizopogon,8,RH,High,1031.371838,570775.5863,571806.9581,0.000188674,1.25E-05,107.8850146,7.131594357,26658.29286,0.563863
209,8/6/2017,2/19/2018,197,Rh13H2,13,30,Rhizopogon,2,LH,High,1154.370113,1409787.425,1410941.795,0.000100306,6.49E-06,141.5261262,9.155833986,29837.47993,0.29102
71,8/6/2017,10/20/2017,75,Rh18H7,18,10,Rhizopogon,7,RH,High,1167.047343,74862.94608,76029.99343,0.000956569,6.82E-05,72.72796816,5.185976829,30165.15352,0.368436
219,8/6/2017,2/19/2018,197,Rh18H15,18,30,Rhizopogon,15,LH,High,1396.441069,1529052.317,1530448.758,8.08E-05,5.44E-06,123.6116192,8.322133109,36094.38767,0.3173
147,8/6/2017,12/11/2017,127,Rh18H17,18,20,Rhizopogon,17,LH,High,1431.271697,460044.3845,461475.6562,0.000422291,2.34E-05,194.8769651,10.78088027,36994.66929,0.593236
231,8/6/2017,2/19/2018,197,Rh18L5,18,30,Rhizopogon,5,LL,Low,1472.935711,193581.9779,195054.9136,0.000804371,2.31E-05,156.8965839,4.513770821,38071.57623,0.32539
217,8/6/2017,2/19/2018,197,Rh18H14,18,30,Rhizopogon,14,LH,High,1584.642137,801110.2256,802694.8677,0.000267939,1.48E-05,215.0735668,11.91616192,40958.89823,0.52869
225,8/6/2017,2/20/2018,198,Rh18L12,18,30,Rhizopogon,12,RL,Low,1733.339339,222285.9017,224019.2411,0.001081175,4.95E-05,242.2041087,11.08348907,44802.33608,0.60631
25,8/4/2017,10/22/2017,79,Pi13H11,13,10,Pisolithus,11,RH,High,1808.932399,24635.18363,26444.11603,0.000339595,4.56E-05,8.980289022,1.206943014,41130.78022,0.174451
221,8/6/2017,2/19/2018,197,Rh18H9,18,30,Rhizopogon,9,RH,High,1864.451289,1484455.004,1486319.455,0.000137893,6.22E-06,204.9535197,9.239406323,48191.24069,0.49521
37,8/4/2017,10/22/2017,79,Pi13L6,13,10,Pisolithus,6,RL,Low,2076.109027,30560.09034,32636.19936,0.001159183,4.54E-05,37.83131351,1.480150595,47205.73535,0.141428
211,8/6/2017,2/19/2018,197,Rh13H4,13,30,Rhizopogon,4,RH,High,2080.352887,1334565.603,1336645.956,0.000131508,5.07E-06,175.7789998,6.776700818,53771.73823,0.53191
43,8/4/2017,10/21/2017,78,Pi18H22,18,10,Pisolithus,22,LH,High,2212.316795,35135.08108,37347.39787,0.001226548,1.72E-05,45.8083607,0.642798536,50302.77302,0.157096
27,8/4/2017,10/21/2017,78,Pi13H4,13,10,Pisolithus,4,LH,High,2261.849523,33361.53783,35623.38735,0.000224032,1.92E-05,7.980795912,0.68236813,51429.02835,0.103385
